Team,Player,Projected,Actual,Difference
The Bronx Orthodox Church,Cole Anthony,1805,1828,23
The Bronx Orthodox Church,Bruce Brown,1729,1528,-201
The Bronx Orthodox Church,Norman Powell,1729,1659,-70
NYC Chopp Cheese,CJ McCollum,2563,2538,-25
NYC Chopp Cheese,Dejounte Murray,3117,3339,222
NYC Chopp Cheese,Donovan Mitchell,3054,2682,-372
NYC Chopp Cheese,Cade Cunningham,2632,2453,-179
NYC Chopp Cheese,Austin Reaves,2427,2656,229
NYC Chopp Cheese,Bam Adebayo,2922,2887,-35
NYC Chopp Cheese,Jaylen Brown,2732,2697,-35
NYC Chopp Cheese,Jalen Williams,2607,2676,69
NYC Chopp Cheese,Jalen Johnson,756,2091,1335
NYC Chopp Cheese,Kelly Oubre Jr.,1984,1853,-131
NYC Chopp Cheese,Ayo Dosunmu,1537,1934,397
NYC Chopp Cheese,Isaiah Hartenstein,1401,2146,745
I Watch Basketbal,Khris Middleton,2404,1744,-660
I Watch Basketbal,Brandon Ingram,2749,2424,-325
I Watch Basketbal,Luka Doncic,3698,4482,784
I Watch Basketbal,Jarrett Allen,2420,2934,514
I Watch Basketbal,Stephen Curry,3218,3139,-79
I Watch Basketbal,Jabari Smith Jr.,2136,2202,66
I Watch Basketbal,LeBron James,3249,3685,436
I Watch Basketbal,Terry Rozier,2121,2269,148
I Watch Basketbal,Brandon Miller,1986,2135,149
I Watch Basketbal,Ausar Thompson,1652,1495,-157
I Watch Basketbal,Herbert Jones,1801,2080,279
I Watch Basketbal,Grayson Allen,1301,2214,913
I Watch Basketbal,Draymond Green,2006,1704,-302
I Watch Basketbal,Alex Caruso,1674,2116,442
I Watch Basketbal,Gary Trent Jr.,1600,1685,85
