,Team,Player,Projected,Actual,Difference
92,Pooh Shaisty,Nic Claxton,2290.0,2486.0,196.0
93,Pooh Shaisty,Shai Gilgeous-Alexander,3407.0,4261.0,854.0
94,Pooh Shaisty,Jaren Jackson Jr.,2737.0,2491.0,-246.0
95,Pooh Shaisty,Tobias Harris,2250.0,2409.0,159.0
96,Pooh Shaisty,Keldon Johnson,2360.0,1936.0,-424.0
97,Pooh Shaisty,Chris Paul,2173.0,1710.0,-463.0
98,Pooh Shaisty,Klay Thompson,2022.0,2192.0,170.0
99,Pooh Shaisty,Jordan Clarkson,2170.0,1481.0,-689.0
100,Pooh Shaisty,Jonas Valanciunas,2374.0,2329.0,-45.0
101,Pooh Shaisty,Saddiq Bey,1884.0,1561.0,-323.0
102,Pooh Shaisty,Coby White,1482.0,2669.0,1187.0
103,Pooh Shaisty,Josh Hart,1967.0,2221.0,254.0
104,Pooh Shaisty,Kevin Huerter,2270.0,1425.0,-845.0
105,Pooh Shaisty,Luguentz Dort,1503.0,1742.0,239.0
106,The Bronx Orthodox Church,Kyle Kuzma,2621.0,2569.0,-52.0
107,The Bronx Orthodox Church,D'Angelo Russell,2379.0,2772.0,393.0
108,The Bronx Orthodox Church,Anthony Davis,3012.0,4204.0,1192.0
109,The Bronx Orthodox Church,Brook Lopez,2120.0,2520.0,400.0
110,The Bronx Orthodox Church,Michael Porter Jr.,1980.0,2528.0,548.0
111,The Bronx Orthodox Church,Anfernee Simons,2197.0,1600.0,-597.0
112,The Bronx Orthodox Church,Jrue Holiday,2453.0,2206.0,-247.0
113,The Bronx Orthodox Church,Kristaps Porzingis,2781.0,2309.0,-472.0
114,The Bronx Orthodox Church,Lauri Markkanen,2976.0,2208.0,-768.0
115,The Bronx Orthodox Church,Malcolm Brogdon,2053.0,1210.0,-843.0
116,The Bronx Orthodox Church,Miles Bridges,1759.0,2560.0,801.0
117,The Bronx Orthodox Church,Malik Monk,1764.0,2110.0,346.0
118,The Bronx Orthodox Church,Cole Anthony,1805.0,1828.0,23.0
119,The Bronx Orthodox Church,Bruce Brown,1729.0,1528.0,-201.0
120,The Bronx Orthodox Church,Norman Powell,1729.0,1659.0,-70.0
121,NYC Chopp Cheese,CJ McCollum,2563.0,2538.0,-25.0
122,NYC Chopp Cheese,Dejounte Murray,3117.0,3339.0,222.0
123,NYC Chopp Cheese,Donovan Mitchell,3054.0,2682.0,-372.0
124,NYC Chopp Cheese,Cade Cunningham,2632.0,2453.0,-179.0
125,NYC Chopp Cheese,Austin Reaves,2427.0,2656.0,229.0
126,NYC Chopp Cheese,Bam Adebayo,2922.0,2887.0,-35.0
127,NYC Chopp Cheese,Jaylen Brown,2732.0,2697.0,-35.0
128,NYC Chopp Cheese,Jalen Williams,2607.0,2676.0,69.0
129,NYC Chopp Cheese,Jalen Johnson,756.0,2091.0,1335.0
130,NYC Chopp Cheese,Kelly Oubre Jr.,1984.0,1853.0,-131.0
131,NYC Chopp Cheese,Ayo Dosunmu,1537.0,1934.0,397.0
132,NYC Chopp Cheese,Isaiah Hartenstein,1401.0,2146.0,745.0
133,I Watch Basketbal,Khris Middleton,2404.0,1744.0,-660.0
134,I Watch Basketbal,Brandon Ingram,2749.0,2424.0,-325.0
135,I Watch Basketbal,Luka Doncic,3698.0,4482.0,784.0
136,I Watch Basketbal,Jarrett Allen,2420.0,2934.0,514.0
137,I Watch Basketbal,Stephen Curry,3218.0,3139.0,-79.0
138,I Watch Basketbal,Jabari Smith Jr.,2136.0,2202.0,66.0
139,I Watch Basketbal,LeBron James,3249.0,3685.0,436.0
140,I Watch Basketbal,Terry Rozier,2121.0,2269.0,148.0
141,I Watch Basketbal,Brandon Miller,1986.0,2135.0,149.0
142,I Watch Basketbal,Ausar Thompson,1652.0,1495.0,-157.0
143,I Watch Basketbal,Herbert Jones,1801.0,2080.0,279.0
144,I Watch Basketbal,Grayson Allen,1301.0,2214.0,913.0
145,I Watch Basketbal,Draymond Green,2006.0,1704.0,-302.0
146,I Watch Basketbal,Alex Caruso,1674.0,2116.0,442.0
147,I Watch Basketbal,Gary Trent Jr.,1600.0,1685.0,85.0
