Year,Week,Type,Team Name,Team ID,Owner,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name,Opponent Team ID,Opponent Owner
2021,16,Regular,Back to Back Spasms,4,Paul,Away,494.0,1789.0,0,1,Who Invited This Kid?,7,Jooahn
2021,17,Playoffs,Back to Back Spasms,4,Paul,Home,1359.0,2759.0,0,1,Ben’s Sons,10,Benson
2021,18,Playoffs,Back to Back Spasms,4,Paul,Home,1236.0,2157.0,0,1,Killian SkyWalker,8,Jonathan
2021,1,Regular,Fuck Kevin Garnett,5,Shayan,Home,1069.0,868.0,1,0,Michigan Wolversemen,12,Semanto
2021,2,Regular,Fuck Kevin Garnett,5,Shayan,Home,1280.0,1171.0,1,0,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,3,Regular,Fuck Kevin Garnett,5,Shayan,Home,1021.0,1356.0,0,1,Team nunu man ,6,Tahmeed
2021,4,Regular,Fuck Kevin Garnett,5,Shayan,Home,848.0,955.0,0,1,Ben’s Sons,10,Benson
2021,5,Regular,Fuck Kevin Garnett,5,Shayan,Home,942.0,1241.0,0,1,Monjizl Wanker Lads,1,Frank
2021,6,Regular,Fuck Kevin Garnett,5,Shayan,Home,1143.0,1392.0,0,1,Back to Back Spasms,4,Paul
2021,7,Regular,Fuck Kevin Garnett,5,Shayan,Home,1065.0,1611.0,0,1,New Jersey Eren,2,Eren
2021,8,Regular,Fuck Kevin Garnett,5,Shayan,Home,880.0,1873.0,0,1,Who Invited This Kid?,7,Jooahn
2021,9,Regular,Fuck Kevin Garnett,5,Shayan,Home,822.0,708.0,1,0,Killian SkyWalker,8,Jonathan
2021,10,Regular,Fuck Kevin Garnett,5,Shayan,Away,848.0,1485.0,0,1,Michigan Wolversemen,12,Semanto
2021,11,Regular,Fuck Kevin Garnett,5,Shayan,Away,1220.0,1708.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,12,Regular,Fuck Kevin Garnett,5,Shayan,Away,1165.0,1695.0,0,1,Team nunu man ,6,Tahmeed
2021,13,Regular,Fuck Kevin Garnett,5,Shayan,Away,888.0,1253.0,0,1,Ben’s Sons,10,Benson
2021,14,Regular,Fuck Kevin Garnett,5,Shayan,Away,1089.0,1086.0,1,0,Monjizl Wanker Lads,1,Frank
2021,15,Regular,Fuck Kevin Garnett,5,Shayan,Away,1123.0,1033.0,1,0,Back to Back Spasms,4,Paul
2021,16,Regular,Fuck Kevin Garnett,5,Shayan,Away,960.0,1131.0,0,1,New Jersey Eren,2,Eren
2021,17,Playoffs,Fuck Kevin Garnett,5,Shayan,Home,1507.0,3045.0,0,1,Killian SkyWalker,8,Jonathan
2021,18,Playoffs,Fuck Kevin Garnett,5,Shayan,Away,1068.0,1683.0,0,1,Monjizl Wanker Lads,1,Frank
2021,1,Regular,Team nunu man ,6,Tahmeed,Home,980.0,1048.0,0,1,Who Invited This Kid?,7,Jooahn
2021,2,Regular,Team nunu man ,6,Tahmeed,Away,1473.0,1591.0,0,1,Michigan Wolversemen,12,Semanto
2021,3,Regular,Team nunu man ,6,Tahmeed,Away,1356.0,1021.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,4,Regular,Team nunu man ,6,Tahmeed,Home,1004.0,1321.0,0,1,Monjizl Wanker Lads,1,Frank
2021,5,Regular,Team nunu man ,6,Tahmeed,Away,1305.0,1284.0,1,0,New Jersey Eren,2,Eren
2021,6,Regular,Team nunu man ,6,Tahmeed,Away,1569.0,1132.0,1,0,Killian SkyWalker,8,Jonathan
2021,7,Regular,Team nunu man ,6,Tahmeed,Home,1226.0,1593.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,8,Regular,Team nunu man ,6,Tahmeed,Away,1382.0,1439.0,0,1,Ben’s Sons,10,Benson
2021,9,Regular,Team nunu man ,6,Tahmeed,Away,1560.0,1476.0,1,0,Back to Back Spasms,4,Paul
2021,10,Regular,Team nunu man ,6,Tahmeed,Away,1616.0,1553.0,1,0,Who Invited This Kid?,7,Jooahn
2021,11,Regular,Team nunu man ,6,Tahmeed,Home,1738.0,1722.0,1,0,Michigan Wolversemen,12,Semanto
2021,12,Regular,Team nunu man ,6,Tahmeed,Home,1695.0,1165.0,1,0,Fuck Kevin Garnett,5,Shayan
