Year,Week,Type,Team Name,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name
2021,18,Playoffs,Fuck Kevin Garnett,Away,1068,1683,0,1,Monjizl Wanker Lads
2021,1,Regular,Team nunu man ,Home,980,1048,0,1,Who Invited This Kid?
2021,2,Regular,Team nunu man ,Away,1473,1591,0,1,Michigan Wolversemen
2021,3,Regular,Team nunu man ,Away,1356,1021,1,0,Fuck Kevin Garnett
2021,4,Regular,Team nunu man ,Home,1004,1321,0,1,Monjizl Wanker Lads
2021,5,Regular,Team nunu man ,Away,1305,1284,1,0,New Jersey Eren
2021,6,Regular,Team nunu man ,Away,1569,1132,1,0,Killian SkyWalker
2021,7,Regular,Team nunu man ,Home,1226,1593,0,1,🧂🧂🧂 Ishouldbe9-1
2021,8,Regular,Team nunu man ,Away,1382,1439,0,1,Ben’s Sons
2021,9,Regular,Team nunu man ,Away,1560,1476,1,0,Back to Back Spasms
2021,10,Regular,Team nunu man ,Away,1616,1553,1,0,Who Invited This Kid?
2021,11,Regular,Team nunu man ,Home,1738,1722,1,0,Michigan Wolversemen
2021,12,Regular,Team nunu man ,Home,1695,1165,1,0,Fuck Kevin Garnett
2021,13,Regular,Team nunu man ,Away,1556,1171,1,0,Monjizl Wanker Lads
2021,14,Regular,Team nunu man ,Home,1427,1297,1,0,New Jersey Eren
2021,15,Regular,Team nunu man ,Home,1413,1271,1,0,Killian SkyWalker
2021,16,Regular,Team nunu man ,Away,1134,1167,0,1,🧂🧂🧂 Ishouldbe9-1
2021,17,Playoffs,Team nunu man ,Home,3193,2724,1,0,New Jersey Eren
2021,18,Playoffs,Team nunu man ,Home,2921,3235,0,1,🧂🧂🧂 Ishouldbe9-1
2021,1,Regular,Who Invited This Kid?,Away,1048,980,1,0,Team nunu man 
2021,2,Regular,Who Invited This Kid?,Home,1585,947,1,0,Monjizl Wanker Lads
2021,3,Regular,Who Invited This Kid?,Away,1520,1549,0,1,New Jersey Eren
2021,4,Regular,Who Invited This Kid?,Away,1064,835,1,0,Killian SkyWalker
2021,5,Regular,Who Invited This Kid?,Home,1140,1260,0,1,🧂🧂🧂 Ishouldbe9-1
2021,6,Regular,Who Invited This Kid?,Away,1410,1146,1,0,Ben’s Sons
2021,7,Regular,Who Invited This Kid?,Away,1752,1442,1,0,Back to Back Spasms
2021,8,Regular,Who Invited This Kid?,Away,1873,880,1,0,Fuck Kevin Garnett
2021,9,Regular,Who Invited This Kid?,Home,1642,1195,1,0,Michigan Wolversemen
2021,10,Regular,Who Invited This Kid?,Home,1553,1616,0,1,Team nunu man 
2021,11,Regular,Who Invited This Kid?,Away,2116,1449,1,0,Monjizl Wanker Lads
2021,12,Regular,Who Invited This Kid?,Home,1579,1403,1,0,New Jersey Eren
2021,13,Regular,Who Invited This Kid?,Home,1587,1332,1,0,Killian SkyWalker
2021,14,Regular,Who Invited This Kid?,Away,1430,1321,1,0,🧂🧂🧂 Ishouldbe9-1
2021,15,Regular,Who Invited This Kid?,Home,1734,1302,1,0,Ben’s Sons
2021,16,Regular,Who Invited This Kid?,Home,1789,494,1,0,Back to Back Spasms
2021,17,Playoffs,Who Invited This Kid?,Home,2586,3312,0,1,🧂🧂🧂 Ishouldbe9-1
2021,18,Playoffs,Who Invited This Kid?,Home,2477,2452,1,0,New Jersey Eren
2021,1,Regular,Killian SkyWalker,Home,965,845,1,0,🧂🧂🧂 Ishouldbe9-1
2021,2,Regular,Killian SkyWalker,Away,1282,1333,0,1,Ben’s Sons
2021,3,Regular,Killian SkyWalker,Away,1224,1599,0,1,Back to Back Spasms
2021,4,Regular,Killian SkyWalker,Home,835,1064,0,1,Who Invited This Kid?
2021,5,Regular,Killian SkyWalker,Home,1240,1184,1,0,Michigan Wolversemen
2021,6,Regular,Killian SkyWalker,Home,1132,1569,0,1,Team nunu man 
2021,7,Regular,Killian SkyWalker,Away,1251,1407,0,1,Monjizl Wanker Lads
2021,8,Regular,Killian SkyWalker,Home,1098,1457,0,1,New Jersey Eren
2021,9,Regular,Killian SkyWalker,Away,708,822,0,1,Fuck Kevin Garnett
2021,10,Regular,Killian SkyWalker,Away,894,1404,0,1,🧂🧂🧂 Ishouldbe9-1
2021,11,Regular,Killian SkyWalker,Home,1542,1258,1,0,Ben’s Sons
2021,12,Regular,Killian SkyWalker,Home,1268,1546,0,1,Back to Back Spasms
2021,13,Regular,Killian SkyWalker,Away,1332,1587,0,1,Who Invited This Kid?
2021,14,Regular,Killian SkyWalker,Away,1291,1381,0,1,Michigan Wolversemen
2021,15,Regular,Killian SkyWalker,Away,1271,1413,0,1,Team nunu man 
2021,16,Regular,Killian SkyWalker,Home,1004,1391,0,1,Monjizl Wanker Lads
2021,17,Playoffs,Killian SkyWalker,Away,3045,1507,1,0,Fuck Kevin Garnett
2021,18,Playoffs,Killian SkyWalker,Away,2157,1236,1,0,Back to Back Spasms
2021,1,Regular,Ben’s Sons,Away,782,993,0,1,New Jersey Eren
2021,2,Regular,Ben’s Sons,Home,1333,1282,1,0,Killian SkyWalker
2021,3,Regular,Ben’s Sons,Home,1150,1527,0,1,🧂🧂🧂 Ishouldbe9-1
2021,4,Regular,Ben’s Sons,Away,955,848,1,0,Fuck Kevin Garnett
2021,5,Regular,Ben’s Sons,Away,1283,1373,0,1,Back to Back Spasms
2021,6,Regular,Ben’s Sons,Home,1146,1410,0,1,Who Invited This Kid?
2021,7,Regular,Ben’s Sons,Home,1374,1385,0,1,Michigan Wolversemen
2021,8,Regular,Ben’s Sons,Home,1439,1382,1,0,Team nunu man 
2021,9,Regular,Ben’s Sons,Away,1193,1173,1,0,Monjizl Wanker Lads
2021,10,Regular,Ben’s Sons,Home,995,1413,0,1,New Jersey Eren
2021,11,Regular,Ben’s Sons,Away,1258,1542,0,1,Killian SkyWalker
2021,12,Regular,Ben’s Sons,Away,1244,1492,0,1,🧂🧂🧂 Ishouldbe9-1
2021,13,Regular,Ben’s Sons,Home,1253,888,1,0,Fuck Kevin Garnett
2021,14,Regular,Ben’s Sons,Home,1434,1221,1,0,Back to Back Spasms
2021,15,Regular,Ben’s Sons,Away,1302,1734,0,1,Who Invited This Kid?
2021,16,Regular,Ben’s Sons,Away,1462,1288,1,0,Michigan Wolversemen
2021,17,Playoffs,Ben’s Sons,Away,2759,1359,1,0,Back to Back Spasms
2021,18,Playoffs,Ben’s Sons,Home,2560,3295,0,1,Michigan Wolversemen
2021,1,Regular,🧂🧂🧂 Ishouldbe9-1,Away,845,965,0,1,Killian SkyWalker
2021,2,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1171,1280,0,1,Fuck Kevin Garnett
2021,3,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1527,1150,1,0,Ben’s Sons
2021,4,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1235,1246,0,1,Back to Back Spasms
2021,5,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1260,1140,1,0,Who Invited This Kid?
2021,6,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1283,1314,0,1,Michigan Wolversemen
2021,7,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1593,1226,1,0,Team nunu man 
2021,8,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1526,1177,1,0,Monjizl Wanker Lads
2021,9,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1591,865,1,0,New Jersey Eren
2021,10,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1404,894,1,0,Killian SkyWalker
2021,11,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1708,1220,1,0,Fuck Kevin Garnett
2021,12,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1492,1244,1,0,Ben’s Sons
2021,13,Regular,🧂🧂🧂 Ishouldbe9-1,Away,1305,1388,0,1,Back to Back Spasms
2021,14,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1321,1430,0,1,Who Invited This Kid?
2021,15,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1450,1280,1,0,Michigan Wolversemen
2021,16,Regular,🧂🧂🧂 Ishouldbe9-1,Home,1167,1134,1,0,Team nunu man 
2021,17,Playoffs,🧂🧂🧂 Ishouldbe9-1,Away,3312,2586,1,0,Who Invited This Kid?
2021,18,Playoffs,🧂🧂🧂 Ishouldbe9-1,Away,3235,2921,1,0,Team nunu man 
2021,1,Regular,Michigan Wolversemen,Away,868,1069,0,1,Fuck Kevin Garnett
2021,2,Regular,Michigan Wolversemen,Home,1591,1473,1,0,Team nunu man 
2021,3,Regular,Michigan Wolversemen,Away,1390,1396,0,1,Monjizl Wanker Lads
2021,4,Regular,Michigan Wolversemen,Home,1024,1242,0,1,New Jersey Eren
2021,5,Regular,Michigan Wolversemen,Away,1184,1240,0,1,Killian SkyWalker
2021,6,Regular,Michigan Wolversemen,Home,1314,1283,1,0,🧂🧂🧂 Ishouldbe9-1
2021,7,Regular,Michigan Wolversemen,Away,1385,1374,1,0,Ben’s Sons
2021,8,Regular,Michigan Wolversemen,Home,1126,1314,0,1,Back to Back Spasms
2021,9,Regular,Michigan Wolversemen,Away,1195,1642,0,1,Who Invited This Kid?
2021,10,Regular,Michigan Wolversemen,Home,1485,848,1,0,Fuck Kevin Garnett
2021,11,Regular,Michigan Wolversemen,Away,1722,1738,0,1,Team nunu man 
2021,12,Regular,Michigan Wolversemen,Home,1507,1438,1,0,Monjizl Wanker Lads
2021,13,Regular,Michigan Wolversemen,Away,1186,1303,0,1,New Jersey Eren
2021,14,Regular,Michigan Wolversemen,Home,1381,1291,1,0,Killian SkyWalker
2021,15,Regular,Michigan Wolversemen,Away,1280,1450,0,1,🧂🧂🧂 Ishouldbe9-1
2021,16,Regular,Michigan Wolversemen,Home,1288,1462,0,1,Ben’s Sons
2021,17,Playoffs,Michigan Wolversemen,Away,2986,2023,1,0,Monjizl Wanker Lads
2021,18,Playoffs,Michigan Wolversemen,Away,3295,2560,1,0,Ben’s Sons
2022,1,Regular,Monjizl Wanker Lads,Home,1025,839,1,0,New Jersey Eren
2022,2,Regular,Monjizl Wanker Lads,Away,1457,1369,1,0,L-Eat Gang
2022,3,Regular,Monjizl Wanker Lads,Home,1319,1375,0,1,Fuck Kevin Garnett
2022,4,Regular,Monjizl Wanker Lads,Home,1114,1648,0,1,The Bronx Gangbangers
2022,5,Regular,Monjizl Wanker Lads,Away,1286,1237,1,0,Who Invited This Kid?
2022,6,Regular,Monjizl Wanker Lads,Home,896,1288,0,1,Michigan Wolversemen
2022,7,Regular,Monjizl Wanker Lads,Away,1009,1354,0,1,Ben’s Sons
2022,8,Regular,Monjizl Wanker Lads,Home,1048,731,1,0,NYC Chopp Cheese
2022,9,Regular,Monjizl Wanker Lads,Away,1001,1051,0,1,Team nunu man 
2022,10,Regular,Monjizl Wanker Lads,Home,625,759,0,1,My Entire Team  Suggs
2022,11,Regular,Monjizl Wanker Lads,Away,567,1090,0,1,The Taste of Lavar's Balls
2022,12,Regular,Monjizl Wanker Lads,Away,769,1461,0,1,New Jersey Eren
2022,13,Regular,Monjizl Wanker Lads,Home,1130,814,1,0,L-Eat Gang
2022,14,Regular,Monjizl Wanker Lads,Away,1607,1080,1,0,Fuck Kevin Garnett
2022,15,Regular,Monjizl Wanker Lads,Away,1269,1147,1,0,The Bronx Gangbangers
2022,16,Regular,Monjizl Wanker Lads,Home,1437,1446,0,1,Who Invited This Kid?
2022,17,Regular,Monjizl Wanker Lads,Home,1186,1173,1,0,Michigan Wolversemen
2022,18,Regular,Monjizl Wanker Lads,Away,1803,1387,1,0,Ben’s Sons
2022,19,Regular,Monjizl Wanker Lads,Home,1207,1143,1,0,NYC Chopp Cheese
2022,20,Regular,Monjizl Wanker Lads,Away,1388,762,1,0,Team nunu man 
2022,21,Regular,Monjizl Wanker Lads,Home,989,920,1,0,NYC Chopp Cheese
2022,22,Playoffs,Monjizl Wanker Lads,Home,1170,1216,0,1,L-Eat Gang
2022,23,Playoffs,Monjizl Wanker Lads,Home,1103,1195,0,1,My Entire Team  Suggs
2022,24,Playoffs,Monjizl Wanker Lads,Home,674,1087,0,1,The Taste of Lavar's Balls
2022,1,Regular,New Jersey Eren,Away,839,1025,0,1,Monjizl Wanker Lads
2022,2,Regular,New Jersey Eren,Home,1190,1267,0,1,The Bronx Gangbangers
2022,3,Regular,New Jersey Eren,Away,1257,1273,0,1,L-Eat Gang
2022,4,Regular,New Jersey Eren,Home,1271,1020,1,0,Who Invited This Kid?
2022,5,Regular,New Jersey Eren,Away,1201,924,1,0,Fuck Kevin Garnett
2022,6,Regular,New Jersey Eren,Home,763,1243,0,1,Ben’s Sons
